source_id,source_key,citation,first_author,year,journal,doi,pmid,pmcid,nct_id,url,access,license,redistribution,evidence_tier,retrieved_via,retrieved_date,n_oligos,n_measurements,notes
AQP4_siRNA_hydrocephalus_2018_MedSciMonit,AQP4_siRNA_hydrocephalus_2018_MedSciMonit,Aquaporin 4 Silencing Aggravates Hydrocephalus Induced by Injection of Autologous Blood in Rats. Med Sci Monit. 2018;24.,NOT_REPORTED,2018,Medical Science Monitor,10.12659/MSM.907186,29921834,PMC6042309,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6042309/,open_access,CC BY-NC,cc_by_nc,primary_fulltext,Europe PMC REST fullTextXML endpoint,2026-09-03,2,3,"Toxic-direction nonclinical rows, and the dataset's only DESIGNED negative control (a scrambled non-targeting siRNA)."
Choroid_plexus_siSPAK_LNP_2025_NatCommun,Choroid_plexus_siSPAK_LNP_2025_NatCommun,Targeting modulation of the choroid plexus blood-CSF barrier and CSF hypersecretion via lipid nanoparticle-mediated co-delivery of SPAK siRNA and resveratrol. Nat Commun. 2025;16.,NOT_REPORTED,2025,Nature Communications,10.1038/s41467-025-61543-1,40640139,PMC12246246,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12246246/,open_access,CC BY-NC-ND 4.0,summary_stat_only,primary_fulltext,Europe PMC REST fullTextXML endpoint,2026-09-03,1,2,"Supplies the only published sequences in this release (four SPAK siRNA duplexes, Methods/Materials) and the only protective-direction rows."
DailyMed_SPL_casimersen,DailyMed_SPL_casimersen,FDA prescribing information for casimersen (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
DailyMed_SPL_defibrotide,DailyMed_SPL_defibrotide,FDA prescribing information for defibrotide (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
DailyMed_SPL_eplontersen,DailyMed_SPL_eplontersen,FDA prescribing information for eplontersen (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
DailyMed_SPL_eteplirsen,DailyMed_SPL_eteplirsen,FDA prescribing information for eteplirsen (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
DailyMed_SPL_givosiran,DailyMed_SPL_givosiran,FDA prescribing information for givosiran (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
DailyMed_SPL_golodirsen,DailyMed_SPL_golodirsen,FDA prescribing information for golodirsen (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
DailyMed_SPL_imetelstat,DailyMed_SPL_imetelstat,FDA prescribing information for imetelstat (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
DailyMed_SPL_inclisiran,DailyMed_SPL_inclisiran,FDA prescribing information for inclisiran (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
